period,madv,msales,mes
214,168090,302048,1924m10
215,174393,246779,1924m11
216,63437,216867,1924m12
217,126257,293322,1925m1
218,108756,289686,1925m2
219,176192,319688,1925m3
220,172522,283147,1925m4
221,146344,288446,1925m5
222,118118,245431,1925m6
223,147337,254548,1925m7
224,158142,290548,1925m8
225,184798,312106,1925m9
226,201636,337868,1925m10
227,204836,298914,1925m11
228,44593,224485,1925m12
229,19183,257778,1926m1
230,22067,228458,1926m2
231,229064,291909,1926m3
232,202423,253828,1926m4
233,243749,220099,1926m5
234,203157,233552,1926m6
235,197475,247322,1926m7
236,193609,242086,1926m8
237,155721,278355,1926m9
238,221819,269267,1926m10
239,225788,233483,1926m11
240,26791,164383,1926m12
241,52400,143000,1927m1
242,44800,113100,1927m2
243,2300,123100,1927m3
244,2200,115000,1927m4
245,2500,90100,1927m5
246,8800,88000,1927m6
247,15100,84400,1927m7
248,62000,99800,1927m8
249,113100,114900,1927m9
250,106700,114600,1927m10
251,91200,102000,1927m11
252,60800,78200,1927m12
253,78000,108500,1928m1
254,83900,123000,1928m2
255,95300,149800,1928m3
256,88400,136500,1928m4
257,47300,127400,1928m5
258,32300,100300,1928m6
259,23400,94500,1928m7
260,45600,111100,1928m8
261,73800,133800,1928m9
262,85500,158900,1928m10
263,65500,138800,1928m11
264,26000,90000,1928m12
265,60600,124000,1929m1
266,77800,115600,1929m2
267,76300,143300,1929m3
268,113100,135500,1929m4
269,66000,130700,1929m5
270,46200,102700,1929m6
271,25100,103100,1929m7
272,27800,107900,1929m8
273,90100,117900,1929m9
274,90100,138900,1929m10
275,45800,111000,1929m11
276,29800,92800,1929m12
277,55500,117800,1930m1
278,6000,119100,1930m2
279,97800,124800,1930m3
280,90000,164100,1930m4
281,75100,172200,1930m5
282,74300,136400,1930m6
283,53900,143600,1930m7
284,54800,146900,1930m8
285,98100,171000,1930m9
286,113500,181000,1930m10
287,75200,159000,1930m11
288,68200,131700,1930m12
289,50900,194000,1931m1
290,68800,150300,1931m2
291,125400,183900,1931m3
292,145900,194700,1931m4
293,94300,180100,1931m5
294,47200,173000,1931m6
295,43200,163300,1931m7
296,45500,172300,1931m8
297,123400,202100,1931m9
298,128600,223300,1931m10
299,85800,170000,1931m11
300,75000,154200,1931m12
301,61600,171800,1932m1
302,46700,171800,1932m2
303,145600,195300,1932m3
304,158400,195700,1932m4
305,141700,190200,1932m5
306,80100,201900,1932m6
307,45100,200000,1932m7
308,64200,199900,1932m8
309,110100,208700,1932m9
310,108100,225700,1932m10
311,79600,205800,1932m11
312,12400,169400,1932m12
313,41600,182100,1933m1
314,43400,188300,1933m2
315,111400,207400,1933m3
316,99500,202100,1933m4
317,66200,186400,1933m5
318,69400,190800,1933m6
319,108400,216000,1933m7
320,148800,242200,1933m8
321,150300,249700,1933m9
322,158800,263700,1933m10
323,144000,256100,1933m11
324,22600,217300,1933m12
325,20100,221600,1934m1
326,97900,179200,1934m2
327,115900,205100,1934m3
328,113400,194400,1934m4
329,82900,211500,1934m5
330,73900,196100,1934m6
331,99600,213800,1934m7
332,100300,215100,1934m8
333,108500,233200,1934m9
334,171000,275800,1934m10
335,88400,237000,1934m11
336,29700,135500,1934m12
337,75000,274300,1935m1
338,97200,220800,1935m2
339,125300,261800,1935m3
340,146400,243400,1935m4
341,77500,214700,1935m5
342,70300,193200,1935m6
343,68300,238400,1935m7
344,76500,217800,1935m8
345,135600,189300,1935m9
346,155800,254900,1935m10
347,97300,183500,1935m11
348,19800,144600,1935m12
349,79300,226900,1936m1
350,67200,167500,1936m2
351,107700,194500,1936m3
352,118700,175500,1936m4
353,64500,185900,1936m5
354,46800,155900,1936m6
355,78800,191100,1936m7
356,98200,195300,1936m8
357,146900,211300,1936m9
358,169100,211700,1936m10
359,31000,146600,1936m11
360,3300,114800,1936m12
361,87000,161800,1937m1
362,88300,161700,1937m2
363,115000,168600,1937m3
364,78700,149300,1937m4
365,50300,138300,1937m5
366,48400,161900,1937m6
367,62600,162400,1937m7
368,77500,163200,1937m8
369,75600,186200,1937m9
370,94400,225600,1937m10
371,48800,138300,1937m11
372,9900,102700,1937m12
373,122900,181000,1938m1
374,97300,171400,1938m2
375,77200,166700,1938m3
376,72400,160200,1938m4
377,44900,133600,1938m5
378,73400,141500,1938m6
379,74400,162400,1938m7
380,75600,172600,1938m8
381,96300,179700,1938m9
382,97700,172300,1938m10
383,98200,146500,1938m11
384,10300,121700,1938m12
385,102700,160700,1939m1
386,101900,165500,1939m2
387,107400,193500,1939m3
388,90900,165200,1939m4
389,74300,163800,1939m5
390,70300,142300,1939m6
391,38100,148700,1939m7
392,121900,170900,1939m8
393,125200,188400,1939m9
394,108100,213600,1939m10
395,23000,146400,1939m11
396,17600,125400,1939m12
397,122600,148500,1940m1
398,117600,170500,1940m2
399,105500,183600,1940m3
400,76500,160500,1940m4
401,67700,151500,1940m5
402,10200,137500,1940m6
403,29200,133200,1940m7
404,105200,143600,1940m8
405,107800,149300,1940m9
406,105400,168400,1940m10
407,116900,131300,1940m11
408,9800,108700,1940m12
409,75800,146600,1941m1
410,117600,133500,1941m2
411,147000,171100,1941m3
412,51300,150600,1941m4
413,12500,130200,1941m5
414,9500,113300,1941m6
415,10600,120100,1941m7
416,107200,129800,1941m8
417,71800,148100,1941m9
418,134400,186000,1941m10
419,22200,142600,1941m11
420,5700,116800,1941m12
421,114700,151800,1942m1
422,132100,165800,1942m2
423,122200,177600,1942m3
424,111000,161100,1942m4
425,60500,160100,1942m5
426,4400,142000,1942m6
427,5000,141100,1942m7
428,49700,135200,1942m8
429,108900,172900,1942m9
430,130400,174600,1942m10
431,64100,146400,1942m11
432,16900,137100,1942m12
433,107200,164600,1943m1
434,119300,162200,1943m2
435,127200,187700,1943m3
436,127200,166100,1943m4
437,64800,162600,1943m5
438,10900,148800,1943m6
439,51100,138700,1943m7
440,107500,164700,1943m8
441,119800,169700,1943m9
442,105400,173700,1943m10
443,21100,145400,1943m11
444,2500,111500,1943m12
445,128000,129500,1944m1
446,135000,131800,1944m2
447,98200,172800,1944m3
448,91900,153900,1944m4
449,8700,132400,1944m5
450,3900,126400,1944m6
451,7200,116900,1944m7
452,46700,147900,1944m8
453,117000,163100,1944m9
454,91700,154600,1944m10
455,70100,145900,1944m11
456,12800,108700,1944m12
457,101400,117100,1945m1
458,127400,140600,1945m2
459,138800,161900,1945m3
460,107100,150800,1945m4
461,53700,152100,1945m5
462,12300,134100,1945m6
463,6000,124700,1945m7
464,35100,126200,1945m8
465,106100,141900,1945m9
466,79100,155800,1945m10
467,13800,122200,1945m11
468,7700,105300,1945m12
469,100000,124200,1946m1
470,118200,136100,1946m2
471,122500,166000,1946m3
472,93600,171700,1946m4
473,62500,137100,1946m5
474,6000,129300,1946m6
475,6100,128500,1946m7
476,16900,121000,1946m8
477,94600,114200,1946m9
478,130600,158600,1946m10
479,42600,144100,1946m11
480,8800,126200,1946m12
481,110400,126700,1947m1
482,109300,127800,1947m2
483,108000,154400,1947m3
484,101200,153400,1947m4
485,74500,133200,1947m5
486,7800,120000,1947m6
487,6600,131400,1947m7
488,9400,118000,1947m8
489,77400,126400,1947m9
490,97100,131800,1947m10
491,53600,101800,1947m11
492,15000,143800,1947m12
493,58000,77200,1948m1
494,112100,90200,1948m2
495,97400,126500,1948m3
496,100200,122900,1948m4
497,13800,131800,1948m5
498,7200,119500,1948m6
499,5900,110500,1948m7
500,27000,109500,1948m8
501,98600,129800,1948m9
502,67300,148200,1948m10
503,30400,116300,1948m11
504,20900,107200,1948m12
505,83800,105200,1949m1
506,99400,110200,1949m2
507,102000,135500,1949m3
508,86500,132300,1949m4
509,81900,129600,1949m5
510,8300,112700,1949m6
511,5600,117000,1949m7
512,22400,105900,1949m8
513,88100,111600,1949m9
514,43600,121400,1949m10
515,16000,96600,1949m11
516,6800,108900,1949m12
517,74900,91400,1950m1
518,85700,108700,1950m2
519,89800,118000,1950m3
520,70500,116700,1950m4
521,48900,121000,1950m5
522,5900,109200,1950m6
